time,month,temperature
1922,sep,6.99
1922,oct,3.37
1922,nov,-1.55
1922,dec,-2.98
1923,jan,-4.48
1923,feb,-1.22
1923,mar,0.1
1923,apr,3.13
1923,may,7.36
1923,jun,7.29
1923,jul,15.09
1923,aug,13.64
1923,sep,8.89
1923,oct,6.88
1923,nov,0.06
1923,dec,-3.85
1924,jan,-4.44
1924,feb,-5.61
1924,mar,-0.51
1924,apr,3.26
1924,may,8.74
1924,jun,10.67
1924,jul,12.71
1924,aug,9.33
1924,sep,9.49
1924,oct,5.37
1924,nov,1.56
1924,dec,-1.76
1925,jan,-1.25
1925,feb,-1.68
1925,mar,-3.32
1925,apr,2.99
1925,may,7.64
1925,jun,11.57
1925,jul,12.09
1925,aug,11.81
1925,sep,6.86
1925,oct,5.86
1925,nov,-0.86
1925,dec,-3.32
1926,jan,-3.66
1926,feb,1.27
1926,mar,0.4
1926,apr,4.39
1926,may,5.67
1926,jun,8.19
1926,jul,11.84
1926,aug,12.75
1926,sep,11.61
1926,oct,5.59
1926,nov,2.64
1926,dec,-3.83
1927,jan,-3.34
1927,feb,-3.12
1927,mar,0.11
1927,apr,3.52
1927,may,8.4
1927,jun,10.73
1927,jul,12.72
1927,aug,11.78
1927,sep,9.38
1927,oct,5.38
1927,nov,1.36
1927,dec,-2.79
1928,jan,-2.3
1928,feb,-1.47
1928,mar,0.37
1928,apr,3.28
1928,may,5.28
1928,jun,11.07
1928,jul,16.14
1928,aug,14.13
1928,sep,9.51
1928,oct,4.89
1928,nov,1.35
1928,dec,-4.0
1929,jan,-7.4
1929,feb,-8.42
1929,mar,0.21
1929,apr,0.96
1929,may,7.95
1929,jun,11.66
1929,jul,13.96
1929,aug,12.67
1929,sep,12.39
1929,oct,5.6
1929,nov,0.8
1929,dec,-1.01
1930,jan,-0.83
1930,feb,-3.93
1930,mar,0.81
1930,apr,3.71
1930,may,6.21
1930,jun,13.54
1930,jul,11.67
1930,aug,12.38
1930,sep,10.06
1930,oct,4.95
1930,nov,2.63
1930,dec,-2.27
1931,jan,-4.45
1931,feb,-5.27
1931,mar,-1.89
1931,apr,2.09
1931,may,9.43
1931,jun,13.45
1931,jul,12.23
1931,aug,10.75
1931,sep,5.29
1931,oct,4.6
1931,nov,2.19
1931,dec,-3.98
1932,jan,-1.77
1932,feb,-6.86
1932,mar,-2.08
1932,apr,1.25
1932,may,6.48
1932,jun,9.72
1932,jul,12.05
1932,aug,15.12
1932,sep,12.38
1932,oct,4.54
1932,nov,1.5
1932,dec,-1.04
1933,jan,-5.76
1933,feb,-3.41
1933,mar,0.61
1933,apr,3.97
1933,may,5.99
1933,jun,8.27
1933,jul,13.84
1933,aug,13.93
1933,sep,10.21
1933,oct,5.27
1933,nov,-0.96
1933,dec,-5.99
1934,jan,-3.7
1934,feb,-2.75
1934,mar,-0.4
1934,apr,5.57
1934,may,9.55
1934,jun,11.04
1934,jul,14.12
1934,aug,11.47
1934,sep,11.03
1934,oct,4.99
1934,nov,0.07
1934,dec,0.58
1935,jan,-6.22
1935,feb,-2.63
1935,mar,-1.64
1935,apr,2.07
1935,may,5.69
1935,jun,12.91
1935,jul,14.01
1935,aug,11.78
1935,sep,10.26
1935,oct,4.76
1935,nov,1.32
1935,dec,-4.03
1936,jan,-0.32
1936,feb,-2.87
1936,mar,1.21
1936,apr,2.61
1936,may,7.92
1936,jun,10.31
1936,jul,11.8
1936,aug,12.36
1936,sep,9.4
1936,oct,1.53
1936,nov,0.56
1936,dec,-1.77
1937,jan,-1.83
1937,feb,-0.98
1937,mar,-1.54
1937,apr,2.6
1937,may,9.0
1937,jun,11.76
1937,jul,13.44
1937,aug,12.63
1937,sep,8.75
1937,oct,5.67
1937,nov,0.04
1937,dec,-4.71
1938,jan,-3.31
1938,feb,-3.42
1938,mar,2.49
1938,apr,0.32
1938,may,5.81
1938,jun,12.36
1938,jul,12.29
1938,aug,12.14
1938,sep,9.76
1938,oct,5.45
1938,nov,3.16
1938,dec,-4.14
1939,jan,-2.11
1939,feb,-1.54
1939,mar,-3.45
1939,apr,4.51
1939,may,4.61
1939,jun,11.13
1939,jul,11.88
1939,aug,12.56
1939,sep,8.79
1939,oct,3.66
1939,nov,2.34
1939,dec,-3.95
1940,jan,-6.9
1940,feb,-2.71
1940,mar,-0.3
1940,apr,3.16
1940,may,7.17
1940,jun,10.23
1940,jul,11.41
1940,aug,11.22
1940,sep,9.63
1940,oct,4.77
1940,nov,0.94
1940,dec,-7.17
1941,jan,-5.58
1941,feb,-3.08
1941,mar,0.22
1941,apr,1.71
1941,may,4.09
1941,jun,11.37
1941,jul,13.93
1941,aug,11.08
1941,sep,9.03
1941,oct,3.66
1941,nov,-0.34
1941,dec,-3.46
1942,jan,-8.26
1942,feb,-6.67
1942,mar,1.63
1942,apr,3.77
1942,may,7.69
1942,jun,11.5
1942,jul,12.7
1942,aug,12.91
1942,sep,11.48
1942,oct,7.67
1942,nov,-0.98
1942,dec,-1.78
1943,jan,-3.22
1943,feb,-1.67
1943,mar,1.89
1943,apr,4.66
1943,may,8.92
1943,jun,10.08
1943,jul,13.2
1943,aug,14.43
1943,sep,10.67
1943,oct,7.35
1943,nov,-0.94
1943,dec,-2.21
1944,jan,-1.91
1944,feb,-6.01
1944,mar,-3.45
1944,apr,4.83
1944,may,7.68
1944,jun,9.91
1944,jul,12.7
1944,aug,15.86
1944,sep,9.02
1944,oct,3.66
1944,nov,-0.49
1944,dec,-4.43
1945,jan,-8.82
1945,feb,0.01
1945,mar,1.32
1945,apr,5.09
1945,may,9.59
1945,jun,13.09
1945,jul,14.56
1945,aug,12.03
1945,sep,10.22
1945,oct,5.17
1945,nov,-0.6
1945,dec,-2.76
1946,jan,-4.77
1946,feb,-1.31
1946,mar,1.2
1946,apr,6.22
1946,may,8.54
1946,jun,10.03
1946,jul,13.86
1946,aug,12.33
1946,sep,10.73
1946,oct,4.43
1946,nov,0.4
1946,dec,-4.75
1947,jan,-6.45
1947,feb,-4.6
1947,mar,0.99
1947,apr,6.26
1947,may,9.96
1947,jun,13.25
1947,jul,15.17
1947,aug,15.18
1947,sep,11.99
1947,oct,6.31
1947,nov,2.41
1947,dec,-3.07
1948,jan,-0.78
1948,feb,-2.56
1948,mar,3.58
1948,apr,4.27
1948,may,9.0
1948,jun,10.12
1948,jul,10.47
1948,aug,12.47
1948,sep,9.81
1948,oct,6.3
1948,nov,2.48
1948,dec,-1.82
1949,jan,-2.42
1949,feb,-1.91
1949,mar,-1.89
1949,apr,6.61
1949,may,6.64
1949,jun,11.0
1949,jul,14.5
1949,aug,13.51
1949,sep,12.69
1949,oct,7.55
1949,nov,-0.3
1949,dec,-0.85
1950,jan,-3.49
1950,feb,-0.79
1950,mar,1.11
1950,apr,1.83
1950,may,9.18
1950,jun,13.68
1950,jul,15.49
1950,aug,13.29
1950,sep,9.24
1950,oct,5.31
1950,nov,0.55
1950,dec,-5.08
1951,jan,-2.46
1951,feb,-2.52
1951,mar,-1.34
1951,apr,2.92
1951,may,6.9
1951,jun,10.74
1951,jul,13.32
1951,aug,12.51
1951,sep,10.89
1951,oct,4.95
1951,nov,2.07
1951,dec,-1.36
1952,jan,-4.8
1952,feb,-4.93
1952,mar,0.94
1952,apr,5.38
1952,may,8.37
1952,jun,12.6
1952,jul,15.95
1952,aug,13.7
1952,sep,6.5
1952,oct,4.2
1952,nov,-1.48
1952,dec,-3.33
1953,jan,-5.94
1953,feb,-4.36
1953,mar,0.72
1953,apr,4.56
1953,may,8.99
1953,jun,9.74
1953,jul,13.29
1953,aug,12.87
1953,sep,10.73
1953,oct,6.79
1953,nov,1.73
1953,dec,-0.32
1954,jan,-6.07
1954,feb,-4.22
1954,mar,1.02
1954,apr,1.79
1954,may,6.68
1954,jun,11.21
1954,jul,10.59
1954,aug,11.08
1954,sep,9.93
1954,oct,5.65
1954,nov,1.54
1954,dec,-0.83
1955,jan,-1.94
1955,feb,-3.75
1955,mar,-1.95
1955,apr,3.26
1955,may,6.56
1955,jun,10.76
1955,jul,12.65
1955,aug,11.67
1955,sep,8.99
1955,oct,3.99
1955,nov,-0.05
1955,dec,0.08
1956,jan,-2.1
1956,feb,-11.93
1956,mar,-0.65
1956,apr,1.5
1956,may,7.89
1956,jun,8.5
1956,jul,12.46
1956,aug,10.95
1956,sep,10.88
1956,oct,3.72
1956,nov,-1.42
1956,dec,-2.64
1957,jan,-3.92
1957,feb,-0.15
1957,mar,3.77
1957,apr,3.58
1957,may,4.91
1957,jun,11.51
1957,jul,12.76
1957,aug,11.42
1957,sep,8.79
1957,oct,5.83
1957,nov,1.6
1957,dec,-2.58
1958,jan,-3.71
1958,feb,-0.48
1958,mar,-3.32
1958,apr,0.73
1958,may,9.83
1958,jun,10.23
1958,jul,13.22
1958,aug,13.42
1958,sep,11.58
1958,oct,4.75
1958,nov,0.91
1958,dec,-1.27
1959,jan,-3.7
1959,feb,-0.97
1959,mar,2.61
1959,apr,4.34
1959,may,8.15
1959,jun,11.22
1959,jul,14.69
1959,aug,12.28
1959,sep,11.17
1959,oct,5.17
1959,nov,-0.25
1959,dec,-1.38
1960,jan,-3.9
1960,feb,-1.59
1960,mar,1.2
1960,apr,3.2
1960,may,8.85
1960,jun,11.94
1960,jul,10.81
1960,aug,11.73
1960,sep,7.94
1960,oct,4.2
1960,nov,1.63
1960,dec,-3.03
1961,jan,-3.14
1961,feb,0.78
1961,mar,1.77
1961,apr,6.11
1961,may,6.21
1961,jun,11.66
1961,jul,11.61
1961,aug,12.29
1961,sep,13.32
1961,oct,6.43
1961,nov,0.69
1961,dec,-1.39
1962,jan,-2.4
1962,feb,-3.74
1962,mar,-3.49
1962,apr,2.81
1962,may,5.61
1962,jun,10.05
1962,jul,12.14
1962,aug,14.25
1962,sep,9.65
1962,oct,6.12
1962,nov,-1.2
1962,dec,-5.39
1963,jan,-8.59
1963,feb,-7.22
1963,mar,-0.94
1963,apr,4.14
1963,may,6.74
1963,jun,10.66
1963,jul,13.88
1963,aug,11.32
1963,sep,9.98
1963,oct,5.74
1963,nov,3.04
1963,dec,-4.27
1964,jan,-3.82
1964,feb,-1.46
1964,mar,-0.8
1964,apr,4.48
1964,may,9.23
1964,jun,12.34
1964,jul,14.58
1964,aug,12.05
1964,sep,10.37
1964,oct,3.41
1964,nov,2.01
1964,dec,-3.25
1965,jan,-2.98
1965,feb,-6.96
1965,mar,-0.63
1965,apr,1.7
1965,may,6.69
1965,jun,11.41
1965,jul,11.38
1965,aug,11.3
1965,sep,7.65
1965,oct,6.34
1965,nov,-0.16
1965,dec,-1.54
1966,jan,-5.19
1966,feb,1.48
1966,mar,-1.48
1966,apr,4.69
1966,may,7.92
1966,jun,11.86
1966,jul,11.08
1966,aug,11.08
1966,sep,11.21
1966,oct,7.55
1966,nov,-1.93
1966,dec,-2.62
1967,jan,-3.69
1967,feb,-1.75
1967,mar,0.8
1967,apr,2.11
1967,may,7.1
1967,jun,9.87
1967,jul,14.69
1967,aug,12.55
1967,sep,9.18
1967,oct,7.92
1967,nov,1.94
1967,dec,-4.25
1968,jan,-4.54
1968,feb,-2.04
1968,mar,0.03
1968,apr,4.51
1968,may,6.67
1968,jun,10.73
1968,jul,12.35
1968,aug,10.72
1968,sep,8.62
1968,oct,7.65
1968,nov,1.24
1968,dec,-3.86
1969,jan,-2.48
1969,feb,-5.65
1969,mar,-0.38
